country,exhibitors,region
Japan,309,Asia
China,259,Asia
India,80,Asia
Taiwan,33,Asia
Italy,27,Europe
South Korea,24,Asia
USA,9,Americas
Germany,7,Europe
Latvia,7,Europe
Switzerland,6,Europe
France,3,Europe
Hong Kong,3,Asia
Spain,3,Europe
Thailand,3,Asia
UK,3,Europe
Austria,1,Europe
Canada,1,Americas
Denmark,1,Europe
Estonia,1,Europe
Hungary,1,Europe
Lithuania,1,Europe
Luxembourg,1,Europe
Malaysia,1,Asia
Netherlands,1,Europe
Poland,1,Europe
Portugal,1,Europe
Romania,1,Europe
Russia,1,Europe
Saudi Arabia,1,Middle East
Sweden,1,Europe
Turkey,1,Europe/Middle East
Ukraine,1,Europe
